Feedback_ID,Student_ID,Course_ID,Course_Name,Semester,Date,Language,Rating,Feedback_Text,Overall_Sentiment,Sentiment_Confidence,Aspect_Records,Topic_ID,Topic_Name,Topic_Probability,Cleaned_Text,Detected_Language,Language_Confidence,Predicted_Sentiment,Polarity_Score
FB_00001,STU_5012,SE303,Software Engineering & Architecture,Sem 6,2026-08-12,English,1,"Too much overlap with previous introductory courses, adds little value.",Negative,0.81,"[{""aspect"": ""Course Content"", ""sentiment"": ""Negative"", ""confidence"": 0.83, ""snippet"": ""Too much overlap with previous introductory courses, adds little value.""}]",1,Lab Infrastructure & Hardware,0.14,"too much overlap with previous introductory courses, adds little value.",English,0.82,Negative,-0.806
FB_00002,STU_4611,AI401,Artificial Intelligence & Robotics,Sem 5,2026-03-13,English,3,"The instructor seems unprepared during theoretical lectures. At the same time, Weekly homework exercises directly reinforced the lecture material.",Neutral,0.73,"[{""aspect"": ""Teaching Quality"", ""sentiment"": ""Negative"", ""confidence"": 0.86, ""snippet"": ""The instructor seems unprepared during theoretical lectures.""}, {""aspect"": ""Assignments"", ""sentiment"": ""Positive"", ""confidence"": 0.84, ""snippet"": ""Weekly homework exercises directly reinforced the lecture material.""}]",1,Lab Infrastructure & Hardware,0.15,"the instructor seems unprepared during theoretical lectures. at the same time, weekly homework exercises directly reinforced the lecture material.",Hinglish,0.8,Neutral,0.025
FB_00003,STU_7201,DS201,Data Structures & Algorithms,Sem 1,2024-01-25,Hindi,5,"बुनियादी ढांचा सामान्य है, काम चलाने लायक व्यवस्था है। लेकिन अध्ययन सामग्री और नोट्स बहुत ही उपयोगी और स्पष्ट हैं।",Positive,0.95,"[{""aspect"": ""Infrastructure"", ""sentiment"": ""Neutral"", ""confidence"": 0.91, ""snippet"": ""बुनियादी ढांचा सामान्य है, काम चलाने लायक व्यवस्था है।""}, {""aspect"": ""Study Material"", ""sentiment"": ""Positive"", ""confidence"": 0.94, ""snippet"": ""अध्ययन सामग्री और नोट्स बहुत ही उपयोगी और स्पष्ट हैं।""}]",0,Course Theme 1,0.17,"बुनियादी ढांचा सामान्य है, काम चलाने लायक व्यवस्था है। लेकिन अध्ययन सामग्री और नोट्स बहुत ही उपयोगी और स्पष्ट हैं।",Hindi,0.99,Positive,0.943
FB_00004,STU_4432,CN204,Computer Networks & Security,Sem 3,2025-04-10,English,5,"Classroom audio-visual setup and projection were crisp and clear. Additionally, Detailed constructive feedback was provided on all test papers.",Positive,0.98,"[{""aspect"": ""Infrastructure"", ""sentiment"": ""Positive"", ""confidence"": 0.85, ""snippet"": ""Classroom audio-visual setup and projection were crisp and clear.""}, {""aspect"": ""Evaluation"", ""sentiment"": ""Positive"", ""confidence"": 0.86, ""snippet"": ""Detailed constructive feedback was provided on all test papers.""}]",3,Exam Difficulty & Time Management (Track 4),0.18,"classroom audio-visual setup and projection were crisp and clear. additionally, detailed constructive feedback was provided on all test papers.",English,0.87,Positive,0.976
FB_00005,STU_4456,DS201,Data Structures & Algorithms,Sem 3,2025-03-28,English,1,"Pacing is steady and well distributed across all modules. At the same time, The final exam was unexpectedly harsh and disconnected from lecture topics. Although Lab manuals have outdated instructions and broken dependencies.",Negative,0.66,"[{""aspect"": ""Lecture Pace"", ""sentiment"": ""Positive"", ""confidence"": 0.89, ""snippet"": ""Pacing is steady and well distributed across all modules.""}, {""aspect"": ""Exams"", ""sentiment"": ""Negative"", ""confidence"": 0.94, ""snippet"": ""The final exam was unexpectedly harsh and disconnected from lecture topics.""}, {""aspect"": ""Practical Sessions"", ""sentiment"": ""Negative"", ""confidence"": 0.91, ""snippet"": ""Lab manuals have outdated instructions and broken dependencies.""}]",1,Lab Infrastructure & Hardware,0.16,"pacing is steady and well distributed across all modules. at the same time, the final exam was unexpectedly harsh and disconnected from lecture topics. although lab manuals have outdated instructions and broken dependencies.",Hinglish,0.8,Negative,-0.65
FB_00006,STU_7916,DB202,Database Management Systems,Sem 1,2024-03-31,English,2,TAs are unhelpful and dismissive during doubt-clearing sessions.,Negative,0.85,"[{""aspect"": ""Faculty Support"", ""sentiment"": ""Negative"", ""confidence"": 0.9, ""snippet"": ""TAs are unhelpful and dismissive during doubt-clearing sessions.""}]",1,Lab Infrastructure & Hardware,0.15,tas are unhelpful and dismissive during doubt-clearing sessions.,English,0.84,Negative,-0.844
FB_00007,STU_2827,CN204,Computer Networks & Security,Sem 5,2026-02-21,Hinglish,2,"Lab sessions standard procedure ke hisab se chale. on the other hand Teacher bas slides read karte hain, practical concepts kuch nahi samjhate.",Negative,0.6,"[{""aspect"": ""Practical Sessions"", ""sentiment"": ""Neutral"", ""confidence"": 0.98, ""snippet"": ""Lab sessions standard procedure ke hisab se chale.""}, {""aspect"": ""Teaching Quality"", ""sentiment"": ""Negative"", ""confidence"": 0.96, ""snippet"": ""Teacher bas slides read karte hain, practical concepts kuch nahi samjhate.""}]",2,Exam Difficulty & Time Management,0.17,"lab sessions standard procedure ke hisab se chale. on the other hand teacher bas slides read karte hain, practical concepts kuch nahi samjhate.",Hinglish,0.87,Negative,-0.582
FB_00008,STU_6310,CS101,Introduction to Programming,Sem 5,2026-03-18,Hinglish,3,"Lecture ki speed okay thi, average pacing.",Neutral,0.67,"[{""aspect"": ""Lecture Pace"", ""sentiment"": ""Neutral"", ""confidence"": 0.86, ""snippet"": ""Lecture ki speed okay thi, average pacing.""}]",1,Lab Infrastructure & Hardware,0.17,"lecture ki speed okay thi, average pacing.",Hinglish,0.84,Neutral,0.031
FB_00009,STU_3103,DB202,Database Management Systems,Sem 4,2025-10-07,Hinglish,3,Mentor ne architectural review mein bohot valuable tips diye. aur sath hi sath Assignments bohot lengthy hain aur submission deadlines bohot tight rakhi hain.,Neutral,0.73,"[{""aspect"": ""Projects"", ""sentiment"": ""Positive"", ""confidence"": 0.97, ""snippet"": ""Mentor ne architectural review mein bohot valuable tips diye.""}, {""aspect"": ""Assignments"", ""sentiment"": ""Negative"", ""confidence"": 0.93, ""snippet"": ""Assignments bohot lengthy hain aur submission deadlines bohot tight rakhi hain.""}]",2,Exam Difficulty & Time Management,0.16,mentor ne architectural review mein bohot valuable tips diye. aur sath hi sath assignments bohot lengthy hain aur submission deadlines bohot tight rakhi hain.,Hinglish,0.87,Neutral,-0.08
FB_00010,STU_2049,ML301,Machine Learning & Neural Networks,Sem 4,2025-08-27,English,5,Capstone project provided fantastic real-world engineering exposure.,Positive,0.93,"[{""aspect"": ""Projects"", ""sentiment"": ""Positive"", ""confidence"": 0.82, ""snippet"": ""Capstone project provided fantastic real-world engineering exposure.""}]",1,Lab Infrastructure & Hardware,0.15,capstone project provided fantastic real-world engineering exposure.,English,0.82,Positive,0.93
FB_00011,STU_8953,SE303,Software Engineering & Architecture,Sem 1,2024-02-11,Hindi,3,नंबर देने में मनमानी की गई और कोई स्पष्टीकरण नहीं दिया गया। इसके अलावा अध्ययन सामग्री और नोट्स बहुत ही उपयोगी और स्पष्ट हैं।,Neutral,0.56,"[{""aspect"": ""Evaluation"", ""sentiment"": ""Negative"", ""confidence"": 0.95, ""snippet"": ""नंबर देने में मनमानी की गई और कोई स्पष्टीकरण नहीं दिया गया।""}, {""aspect"": ""Study Material"", ""sentiment"": ""Positive"", ""confidence"": 0.93, ""snippet"": ""अध्ययन सामग्री और नोट्स बहुत ही उपयोगी और स्पष्ट हैं।""}]",0,Course Theme 1,0.17,नंबर देने में मनमानी की गई और कोई स्पष्टीकरण नहीं दिया गया। इसके अलावा अध्ययन सामग्री और नोट्स बहुत ही उपयोगी और स्पष्ट हैं।,Hindi,0.99,Neutral,-0.23
